feature
user_id
signup_time
purchase_time
purchase_value
device_id
source
browser
sex
age
ip_address
hour
day_of_week
day_of_month
ip_integer
lower_bound
upper_bound
country
country_fraud_rate
country_tx_count
is_high_risk_country
hour_of_day
month
year
is_night
is_morning
is_afternoon
is_evening
is_weekend
hour_sin
hour_cos
day_sin
day_cos
time_since_signup_hours
time_since_signup_days
account_age_category
is_quick_purchase
is_very_new_account
user_transaction_count
time_since_last_tx
is_rapid_tx
user_avg_purchase
user_std_purchase
user_max_purchase
user_min_purchase
purchase_value_ratio
is_unusual_amount
user_device_count
user_browser_count
is_multiple_devices
is_multiple_browsers
device_fraud_rate
browser_fraud_rate
source_fraud_rate
user_country_count
is_multi_country
user_ip_count
is_multi_ip
age_group
age_group_fraud_rate
